BestFitness,AvgFitness,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
64,135.44,978,178,3279,6678,5389,6056,3779,4121,3546,6859
61,136.94,966,221,3235,6646,5442,6104,3774,4135,3546,6859
61,147.94,978,197,3275,6662,5389,6056,3734,4062,3546,6859
61,144.04,978,197,3275,6662,5422,6056,3734,4062,3546,6896
73,136.88,978,197,3262,6661,5423,6056,3734,4062,3469,6896
70,133.72,1020,368,3187,6762,5440,6095,3760,4061,3513,6919
77,156.54,887,239,3275,6662,5297,6071,3844,4139,3526,6800
79,145.8,887,440,3329,6804,5418,6111,3774,4141,3599,6922
74,153.24,872,192,3317,6658,5246,6089,3754,4100,3503,6942
61,155.4,887,69,3275,6661,5401,6104,3814,4123,3529,6872
60,125.92,1008,343,3335,6728,5246,6089,3754,4090,3557,6941
63,144.96,954,326,3295,6728,5180,6088,3788,4123,3545,6903
66,158.58,872,222,3262,6622,5299,6089,3793,4100,3545,6878
52,147.9,1008,198,3344,6661,5327,6089,3793,4100,3545,6878
66,153.2,1008,198,3344,6661,5318,6101,3814,4100,3545,6878
64,150.04,1008,49,3239,6632,5274,6101,3808,4100,3545,6900
57,157.18,1008,49,3275,6693,5465,6101,3808,4100,3545,6900
56,167.44,1008,91,3318,6693,5416,6101,3808,4100,3545,6900
50,174.98,1008,91,3318,6693,5465,6087,3765,4100,3545,6900
48,160.4,988,49,3261,6661,5207,6101,3793,4093,3552,6887
64,155.62,988,49,3186,6661,5207,6101,3793,4093,3552,6887
50,160.76,1003,153,3294,6693,5454,6110,3793,4093,3545,6938
72,138.04,926,232,3312,6661,5419,6087,3753,4125,3503,6857
72,141.58,926,232,3312,6730,5419,6061,3766,4125,3558,6938
82,154.24,1032,137,3302,6687,5265,6086,3804,4171,3552,6940
78,142.62,951,232,3285,6684,5207,6105,3834,4122,3641,6857
66,139.3,924,252,3258,6677,5404,6115,3755,4085,3503,6878
82,156.32,926,232,3318,6610,5440,6079,3794,4106,3523,6867
92,169.58,901,143,3243,6629,5359,6099,3738,4132,3503,6939
89,165.3,875,113,3309,6760,5471,6115,3779,4132,3605,6893
87,180.78,875,113,3309,6770,5471,6115,3779,4132,3579,6939
57,162.24,900,28,3285,6728,5220,6080,3779,4079,3588,6859
63,166.06,944,51,3306,6666,5445,6099,3769,4101,3579,6939
59,155.8,944,51,3306,6666,5445,6099,3769,4067,3579,6939
75,151.36,1007,153,3261,6742,5303,6056,3795,4078,3529,6917
92,161.98,876,213,3191,6656,5299,6056,3793,4077,3526,6832
74,148.28,905,110,3239,6664,5359,6056,3763,4061,3433,6941
68,167.74,876,299,3284,6637,5360,6067,3774,4077,3503,6832
65,161.46,878,188,3284,6638,5360,6067,3774,4077,3503,6832
80,165.28,913,81,3191,6638,5299,6095,3734,4077,3503,6898
87,176.72,904,204,3240,6656,5299,6053,3793,4156,3484,6840
75,153.76,936,106,3243,6704,5360,6083,3853,4186,3544,6892
66,145.72,904,100,3240,6678,5276,6076,3810,4130,3562,6808
62,128.14,904,32,3309,6653,5293,6099,3761,4086,3586,6808
71,128.84,946,100,3252,6678,5276,6076,3810,4114,3429,6912
75,146.86,919,100,3240,6678,5276,6067,3761,4086,3586,6941
65,148.58,988,100,3264,6695,5335,6093,3784,4154,3550,6912
64,133.34,993,104,3260,6695,5335,6108,3810,4114,3492,6850
66,132.16,1026,104,3260,6695,5335,6108,3810,4114,3492,6850
75,124.56,992,114,3260,6695,5256,6108,3810,4153,3492,6850
81,129.04,1018,100,3215,6670,5199,6101,3810,4117,3503,6900
69,143.1,979,70,3322,6642,5448,6129,3750,4087,3530,6856
80,149.64,970,78,3287,6682,5221,6108,3830,4167,3503,6900
80,142.86,986,6,3293,6721,5344,6073,3798,4151,3492,6859
76,140.6,979,58,3275,6630,5381,6074,3772,4108,3490,6844
84,154.76,979,51,3249,6653,5204,6108,3831,4180,3503,6827
62,161.96,979,71,3360,6721,5417,6105,3754,4069,3572,6917
62,145.08,979,39,3360,6721,5404,6105,3754,4069,3572,6917
63,160.42,967,65,3315,6632,5240,6095,3784,4084,3537,6818
69,166.26,900,170,3257,6789,5203,6060,3745,4078,3492,6924
61,181.68,945,121,3323,6721,5377,6104,3745,4084,3533,6918
80,167.34,944,87,3257,6735,5232,6060,3745,4078,3478,6949
62,171.54,945,121,3283,6721,5404,6081,3826,4120,3545,6901
57,148.16,938,142,3307,6731,5416,6118,3754,4094,3545,6870
81,169.26,963,28,3357,6721,5434,6032,3754,4114,3545,6849
73,174.0,959,7,3291,6681,5440,6105,3833,4158,3572,6916
90,177.46,959,133,3184,6713,5402,6105,3833,4158,3572,6834
87,175.94,912,65,3262,6804,5203,6079,3782,4158,3513,6917
98,177.86,950,67,3216,6717,5272,6103,3870,4166,3662,6867
90,185.1,986,214,3247,6677,5216,6106,3833,4335,3507,6820
90,158.36,986,199,3275,6677,5203,6106,3833,4335,3507,6889
86,141.06,1029,49,3291,6768,5436,6078,3788,4061,3513,6909
90,142.94,1015,310,3234,6642,5277,6066,3832,4317,3549,6894
79,165.1,941,128,3338,6752,5392,6106,3834,4192,3549,6911
92,164.52,998,161,3234,6658,5285,6068,3806,4263,3558,6894
85,167.94,1015,105,3247,6741,5381,6122,3833,4180,3555,6894
93,162.12,985,144,3271,6706,5392,6106,3915,4326,3527,6857
93,166.66,985,144,3307,6706,5363,6106,3915,4326,3527,6857
65,159.02,1004,78,3234,6481,5228,6106,3774,4071,3570,6911
106,160.8,941,147,3287,6624,5274,6077,3833,4362,3589,6841
98,159.08,982,153,3210,6642,5450,6104,3889,4346,3711,6901
84,152.64,1015,59,3310,6666,5362,6071,3851,4378,3549,6881
84,159.66,1015,59,3310,6666,5362,6071,3851,4378,3549,6912
81,156.56,956,70,3310,6666,5359,6071,3851,4168,3526,6883
82,161.28,956,111,3248,6666,5465,6104,3887,4362,3711,6883
91,151.72,956,105,3305,6666,5465,6104,3887,4358,3682,6883
77,156.14,941,70,3284,6666,5349,6079,3850,4164,3526,6917
99,175.0,1014,242,3319,6742,5185,6117,3856,4346,3527,6885
93,177.36,1014,163,3227,6742,5300,6117,3889,4283,3545,6885
95,169.42,915,215,3235,6742,5185,6117,3833,4340,3545,6901
81,162.76,876,21,3281,6741,5274,6089,3808,4346,3545,6865
76,155.5,1038,142,3344,6701,5211,6050,3819,4117,3545,6827
85,144.58,876,60,3281,6735,5271,6089,3907,4213,3545,6885
85,141.32,979,255,3235,6742,5233,6075,3813,4310,3545,6872
81,146.86,938,138,3283,6724,5268,6104,3847,4283,3555,6849
86,143.62,952,270,3234,6683,5351,6075,3813,4310,3545,6905
85,155.7,952,298,3232,6733,5262,6080,3873,4350,3545,6885
85,150.76,1002,197,3266,6742,5403,6090,3818,4213,3569,6930
87,162.56,905,284,3234,6683,5390,6072,3875,4310,3545,6924
