BestFitness,AvgFitness,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
60,132.68,898,72,3258,6761,5412,6100,3754,4102,3520,6927
66,130.42,898,72,3269,6679,5444,6092,3749,4145,3547,6843
70,129.64,1035,149,3280,6654,5444,6092,3812,4118,3493,6931
48,128.94,992,62,3293,6665,5271,6092,3749,4080,3552,6918
60,129.8,911,184,3235,6677,5291,6111,3743,4064,3519,6817
55,132.86,911,184,3235,6677,5235,6111,3743,4064,3559,6817
51,131.94,964,159,3244,6720,5371,6092,3797,4093,3551,6903
67,141.48,987,201,3301,6720,5470,6086,3733,4076,3493,6849
71,156.2,942,96,3204,6677,5291,6100,3783,4076,3548,6841
82,153.74,957,143,3331,6702,5452,6086,3784,4192,3531,6903
78,148.66,986,57,3331,6702,5452,6114,3792,4096,3606,6950
72,143.84,909,57,3340,6702,5452,6114,3792,4111,3554,6943
71,150.6,988,98,3230,6717,5392,6087,3784,4114,3495,6911
78,149.22,991,148,3204,6677,5392,6087,3783,4122,3549,6822
74,149.86,926,99,3331,6739,5452,6114,3813,4122,3614,6915
74,145.24,926,99,3331,6739,5452,6114,3813,4122,3614,6915
72,147.2,893,164,3301,6692,5318,6095,3828,4122,3619,6853
75,142.82,926,99,3297,6668,5447,6114,3813,4126,3614,6915
56,137.12,893,164,3301,6706,5285,6095,3738,4078,3528,6853
61,135.16,900,72,3278,6691,5412,6095,3796,4122,3569,6911
62,138.0,900,113,3268,6690,5353,6088,3796,4122,3569,6911
63,126.08,900,66,3268,6690,5353,6088,3796,4122,3574,6930
54,124.94,936,173,3262,6767,5245,6110,3746,4055,3527,6915
57,131.1,875,365,3262,6767,5245,6110,3746,4055,3527,6888
88,146.06,880,173,3304,6728,5245,6110,3746,4278,3555,6915
61,146.62,1014,197,3289,6741,5412,6095,3822,4130,3559,6915
77,144.14,1033,69,3246,6620,5412,6087,3753,4062,3538,6806
80,144.24,924,176,3201,6695,5312,6087,3791,4095,3578,6861
65,142.72,955,147,3355,6761,5262,6055,3791,4095,3548,6915
66,143.6,989,13,3250,6642,5262,6031,3791,4095,3548,6915
56,139.92,900,168,3352,6775,5340,6085,3754,4057,3554,6915
49,136.28,897,168,3304,6775,5340,6085,3754,4057,3554,6906
50,147.76,980,168,3304,6775,5340,6085,3754,4057,3554,6934
50,146.18,989,68,3304,6775,5340,6085,3754,4057,3554,6934
54,135.46,955,247,3355,6759,5355,6102,3773,4095,3548,6905
68,144.48,955,232,3355,6722,5355,6102,3773,4057,3554,6905
53,152.72,955,232,3355,6722,5355,6110,3773,4085,3554,6843
63,151.24,964,222,3286,6689,5217,6115,3793,4116,3554,6905
57,149.6,976,81,3250,6799,5490,6093,3773,4085,3558,6935
67,156.76,925,111,3307,6700,5217,6119,3769,4116,3529,6843
77,157.54,874,150,3223,6653,5433,6121,3773,4076,3446,6860
65,150.02,943,249,3246,6688,5422,6124,3773,4076,3446,6837
78,156.6,1058,307,3268,6655,5224,6097,3807,4126,3583,6793
68,158.44,943,172,3311,6674,5224,6097,3807,4126,3583,6793
63,150.94,864,172,3255,6674,5224,6097,3807,4126,3546,6793
74,145.92,899,105,3268,6765,5224,6076,3839,4165,3553,6891
69,150.92,968,184,3249,6650,5239,6106,3859,4165,3553,6891
75,148.12,893,148,3352,6657,5246,6099,3815,4147,3568,6895
68,145.34,893,148,3292,6657,5246,6099,3807,4129,3537,6831
68,149.46,893,148,3292,6657,5246,6099,3807,4129,3537,6831
71,133.16,876,189,3278,6657,5246,6099,3807,4129,3537,6837
74,130.36,893,189,3278,6657,5291,6105,3814,4147,3537,6837
71,151.04,1041,263,3271,6653,5370,6115,3784,4110,3567,6851
63,139.56,1041,263,3271,6653,5410,6097,3787,4110,3567,6851
60,135.96,1037,263,3271,6653,5410,6097,3787,4104,3567,6929
64,134.96,1040,46,3287,6682,5464,6099,3781,4110,3567,6861
65,139.76,962,40,3290,6724,5369,6083,3796,4126,3525,6873
58,125.22,929,282,3300,6660,5250,6092,3773,4094,3538,6874
58,125.5,1001,393,3300,6660,5250,6092,3773,4094,3538,6837
